[2024-01-01T14:30:37.241+0300][info][gc] Using The Z Garbage Collector
[2024-01-01T14:30:37.369+0300][info][gc] GC(0) Garbage Collection (Warmup) 4M(25%)->4M(25%)
[2024-01-01T14:30:37.463+0300][info][gc] GC(1) Garbage Collection (Warmup) 4M(25%)->6M(38%)
[2024-01-01T14:30:37.560+0300][info][gc] GC(2) Garbage Collection (Warmup) 6M(38%)->4M(25%)
[2024-01-01T14:30:38.375+0300][info][gc] GC(3) Garbage Collection (Proactive) 6M(38%)->4M(25%)
[2024-01-01T14:30:40.285+0300][info][gc] GC(4) Garbage Collection (Proactive) 6M(38%)->6M(38%)
[2024-01-01T14:30:41.673+0300][info][gc] GC(5) Garbage Collection (Allocation Rate) 12M(75%)->8M(50%)
[2024-01-01T14:30:41.773+0300][info][gc] GC(6) Garbage Collection (Allocation Rate) 12M(75%)->8M(50%)
[2024-01-01T14:30:41.875+0300][info][gc] GC(7) Garbage Collection (Allocation Rate) 8M(50%)->8M(50%)
[2024-01-01T14:30:41.997+0300][info][gc] GC(8) Garbage Collection (Allocation Rate) 8M(50%)->6M(38%)
[2024-01-01T14:30:42.094+0300][info][gc] GC(9) Garbage Collection (Allocation Rate) 6M(38%)->6M(38%)
[2024-01-01T14:30:42.189+0300][info][gc] GC(10) Garbage Collection (Allocation Rate) 6M(38%)->6M(38%)
[2024-01-01T14:30:42.290+0300][info][gc] GC(11) Garbage Collection (Allocation Rate) 6M(38%)->6M(38%)
[2024-01-01T14:30:42.389+0300][info][gc] GC(12) Garbage Collection (Allocation Rate) 6M(38%)->6M(38%)
[2024-01-01T14:30:42.993+0300][info][gc] GC(13) Garbage Collection (Allocation Rate) 8M(50%)->8M(50%)
[2024-01-01T14:30:43.090+0300][info][gc] GC(14) Garbage Collection (Allocation Rate) 8M(50%)->6M(38%)
[2024-01-01T14:30:45.098+0300][info][gc] GC(15) Garbage Collection (Proactive) 8M(50%)->6M(38%)
[2024-01-01T14:30:47.670+0300][info][gc] GC(16) Garbage Collection (Proactive) 8M(50%)->6M(38%)
[2024-01-01T14:30:50.699+0300][info][gc] GC(17) Garbage Collection (Proactive) 8M(50%)->6M(38%)
[2024-01-01T14:30:54.488+0300][info][gc] GC(18) Garbage Collection (Proactive) 8M(50%)->6M(38%)
[2024-01-01T14:30:57.306+0300][info][gc] GC(19) Garbage Collection (Proactive) 10M(62%)->10M(62%)
[2024-01-01T14:31:04.772+0300][info][gc] GC(20) Garbage Collection (Proactive) 12M(75%)->12M(75%)
[2024-01-01T14:31:04.868+0300][info][gc] GC(21) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:31:04.966+0300][info][gc] GC(22) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:31:05.066+0300][info][gc] GC(23) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:31:05.166+0300][info][gc] GC(24) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:31:05.267+0300][info][gc] GC(25) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:31:05.367+0300][info][gc] GC(26) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:31:05.466+0300][info][gc] GC(27) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:31:05.567+0300][info][gc] GC(28) Garbage Collection (Allocation Rate) 12M(75%)->10M(62%)
[2024-01-01T14:31:05.665+0300][info][gc] GC(29) Garbage Collection (Allocation Rate) 10M(62%)->10M(62%)
[2024-01-01T14:31:05.764+0300][info][gc] GC(30) Garbage Collection (Allocation Rate) 10M(62%)->10M(62%)
[2024-01-01T14:31:05.864+0300][info][gc] GC(31) Garbage Collection (Allocation Rate) 12M(75%)->10M(62%)
[2024-01-01T14:31:06.464+0300][info][gc] GC(32) Garbage Collection (Allocation Rate) 10M(62%)->10M(62%)
[2024-01-01T14:31:06.564+0300][info][gc] GC(33) Garbage Collection (Allocation Rate) 10M(62%)->10M(62%)
[2024-01-01T14:31:06.667+0300][info][gc] GC(34) Garbage Collection (Allocation Rate) 10M(62%)->10M(62%)
[2024-01-01T14:31:06.766+0300][info][gc] GC(35) Garbage Collection (Allocation Rate) 10M(62%)->10M(62%)
[2024-01-01T14:31:06.868+0300][info][gc] GC(36) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:31:06.967+0300][info][gc] GC(37) Garbage Collection (Allocation Rate) 12M(75%)->10M(62%)
[2024-01-01T14:31:07.868+0300][info][gc] GC(38) Garbage Collection (Proactive) 12M(75%)->12M(75%)
[2024-01-01T14:31:22.867+0300][info][gc] GC(39) Garbage Collection (Allocation Rate) 14M(88%)->12M(75%)
[2024-01-01T14:31:22.967+0300][info][gc] GC(40) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:31:23.066+0300][info][gc] GC(41) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:31:23.166+0300][info][gc] GC(42) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:31:23.266+0300][info][gc] GC(43) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:31:23.366+0300][info][gc] GC(44) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:31:23.466+0300][info][gc] GC(45) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:31:23.566+0300][info][gc] GC(46) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:31:23.666+0300][info][gc] GC(47) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:31:23.766+0300][info][gc] GC(48) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:31:23.867+0300][info][gc] GC(49) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:31:23.966+0300][info][gc] GC(50) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:31:24.066+0300][info][gc] GC(51) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:31:24.166+0300][info][gc] GC(52) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:31:24.266+0300][info][gc] GC(53) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:31:24.366+0300][info][gc] GC(54) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:31:24.466+0300][info][gc] GC(55) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:31:24.566+0300][info][gc] GC(56) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:31:24.667+0300][info][gc] GC(57) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:31:24.767+0300][info][gc] GC(58) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:31:24.867+0300][info][gc] GC(59) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:31:24.966+0300][info][gc] GC(60) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:31:25.066+0300][info][gc] GC(61) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:31:25.166+0300][info][gc] GC(62) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:31:25.266+0300][info][gc] GC(63) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
